id;name;is_main_group;sub_quantity;university_id;open_sub_quantity;university;is_main_group_int;custom_id;custom_university_id
129056835;Международные стажировки для МФТИ;f;40;297;40;МФТИ (Физтех);0;183;9
176441665;TEACH-IN ЛЕКЦИИ УЧЕНЫХ МГУ;f;27;2;27;МГУ;0;194;0
25714310;Со смыслом..;f;55;-1;55;Не связана;0;41;16
39538039;TheatreHD: театр в кино;f;40;-1;40;Не связана;0;82;16
33842750;Невероятный мир;f;84;-1;84;Не связана;0;66;16
75895730;Медиазона;f;20;-1;20;Не связана;0;154;16
193648656;ИА «ПАНОРАМА МГУ»;f;26;2;26;МГУ;0;195;0
72605916;БИРЖА;f;35;-1;35;Не связана;0;153;16
58060828;Подслушано  МГМУ им. Сеченова;f;78;215;78;Первый МГМУ им. И. М. Сеченова (Сеченовский Университет);0;127;3
30553269;Винтаж;f;55;-1;55;Не связана;0;54;16
52557389;Breaking mad;f;50;-1;50;Не связана;0;115;16
55157869;Голос. Дети;f;61;-1;61;Не связана;0;120;16
109147221;Постмодерновые топонимы!;f;30;-1;30;Не связана;0;175;16
69062504;Абитуриенты  Сеченовского Университета;f;24;215;24;Первый МГМУ им. И. М. Сеченова (Сеченовский Университет);0;149;3
34232566;Лайфхаки;f;66;-1;66;Не связана;0;67;16
37495032;Театры для студентов МГУ;f;157;2;157;МГУ;0;75;0
44044055;Спорт МГУ;f;37;2;37;МГУ;0;93;0
47859694;Новости ДАС МГУ;f;24;2;24;МГУ;0;101;0
49962921;Студенческий совет МГУ;f;120;2;120;МГУ;0;104;0
160473982;Первый университетский — новости МГУ;f;81;2;81;МГУ;0;190;0
80358348;Шапито!;f;36;-1;36;Не связана;0;159;16
34300760;Высокие Технологии | ВысТех;f;76;-1;76;Не связана;0;68;16
1149;Физический факультет МГУ имени М.В.Ломоносова;f;38;2;38;МГУ;0;7;0
89562865;Ё-медиа | ПГНИУ;f;31;730;31;ПГНИУ (ПГУ);0;166;14
104687211;unitalks;f;24;-1;24;Не связана;0;173;16
40103104;ПЛЮСЫ И МИНУСЫ ЯНДЕКС ПЛЮС;f;64;-1;64;Не связана;0;83;16
60770247;Лектории ВШЭ;f;29;128;29;НИУ ВШЭ (ГУ-ВШЭ);0;140;2
26090632;Циник;f;67;-1;67;Не связана;0;43;16
31709664;Табитуриент.ру;f;34;-1;34;Не связана;0;60;16
37050618;Вестник гражданского процесса;f;26;-1;26;Не связана;0;74;16
134182806;А как же серсо!?;f;40;-1;40;Не связана;0;184;16
23546772;СКРИПТОНИТ;f;57;-1;57;Не связана;0;34;16
25435258;Великие женщины | Фаина Раневская;f;49;-1;49;Не связана;0;40;16
32413198;Арбитражная практика для юристов;f;36;-1;36;Не связана;0;62;16
142049550;ЭкоГильдия МГУ;f;20;2;20;МГУ;0;186;0
39399586;Циник;f;56;-1;56;Не связана;0;80;16
65539551;Подслушали;f;64;-1;64;Не связана;0;146;16
38624893;4PDA | официальная группа;f;50;-1;50;Не связана;0;79;16
221635943;Ответошная;f;39;-1;39;Не связана;0;199;16
47449440;Школа коммуникаций НИУ ВШЭ;f;22;128;22;НИУ ВШЭ (ГУ-ВШЭ);0;100;2
166330483;ФПМИ (МФТИ — Физтех);f;30;297;30;МФТИ (Физтех);0;191;9
37048696;PONOMINALU;f;62;-1;62;Не связана;0;73;16
58526040;Не все поймут;f;53;-1;53;Не связана;0;130;16
93330757;Карамель;f;39;-1;39;Не связана;0;167;16
50308473;по секрету;f;50;-1;50;Не связана;0;106;16
69547083;Наша страна Россия;f;74;-1;74;Не связана;0;150;16
139157852;Senler;f;37;-1;37;Не связана;0;185;16
94791640;Волонтерский центр МГУ имени М.В.Ломоносова;f;64;2;64;МГУ;0;168;0
170488979;Химический факультет МГУ;f;26;2;26;МГУ;0;193;0
28256828;Лихие 90-е;f;84;-1;84;Не связана;0;49;16
62580435;Фрустрация;f;49;-1;49;Не связана;0;142;16
132;НИУ ВШЭ;f;56;128;56;НИУ ВШЭ (ГУ-ВШЭ);0;1;2
86776361;Юридический факультет МГУ имени М.В. Ломоносова;f;20;2;20;МГУ;0;162;0
51976666;Generation Brand & Communications;f;26;-1;26;Не связана;0;114;16
5486;Студенческий союз МГУ имени М.В. Ломоносова;f;102;2;102;МГУ;0;16;0
111086033;МЕЖДУНАРОДНЫЙ ОТДЕЛ Сеченовского Университета;f;38;215;38;Первый МГМУ им. И. М. Сеченова (Сеченовский Университет);0;178;3
213802301;ШАСТУН;f;53;-1;53;Не связана;0;198;16
38156969;Beauty Club;f;38;-1;38;Не связана;0;78;16
53921002;AMEDIATEKA;f;45;-1;45;Не связана;0;116;16
37743822;Немецкий для лентяев;f;43;-1;43;Не связана;0;76;16
39450745;Клуб знатоков;f;57;-1;57;Не связана;0;81;16
33351123;Конференция «Менеджмент Будущего»;f;31;-1;31;Не связана;0;65;16
46491880;Высокая Кухня;f;67;-1;67;Не связана;0;98;16
30610911;Абитуриенты МФТИ;f;44;297;44;МФТИ (Физтех);0;55;9
44968251;БЕСИТ;f;40;-1;40;Не связана;0;94;16
72263219;Магистратура МФТИ;f;28;297;28;МФТИ (Физтех);0;152;9
22079806;Официальные страницы ВКонтакте;f;84;-1;84;Не связана;0;33;16
31990499;Политехнический музей;f;54;-1;54;Не связана;0;61;16
85624044;Москва Меняется;f;41;-1;41;Не связана;0;161;16
127661835;Бумажный кораблик;f;54;-1;54;Не связана;0;182;16
208420;Бал МГИМО | MGIMO Ball;f;42;236;42;МГИМО МИД России;0;23;5
103966263;Московское образование;f;23;-1;23;Не связана;0;172;16
120688893;Владимир Сурдин - каждый день!;f;21;-1;21;Не связана;0;179;16
194022878;СБП. Система Быстрых Платежей;f;45;-1;45;Не связана;0;196;16
17708;ФРКТ МФТИ;f;78;297;78;МФТИ (Физтех);0;18;9
12742657;НИЯУ МИФИ;f;68;269;68;НИЯУ МИФИ;0;30;7
54277047;Студенческое научное общество НИЯУ МИФИ;f;22;269;22;НИЯУ МИФИ;0;117;7
57969268;Подслушано МГИМО;f;108;236;108;МГИМО МИД России;0;126;5
142251832;ЛаПлаз НИЯУ МИФИ;f;23;269;23;НИЯУ МИФИ;0;187;7
56292539;КАСТИНГИ МОДЕЛИ;f;43;-1;43;Не связана;0;123;16
1236;Студенческий союз МИРЭА;f;111;1187585;111;РТУ МИРЭА;0;9;15
5669254;Профком обучающихся Сеченовского Университета;f;74;215;74;Первый МГМУ им. И. М. Сеченова (Сеченовский Университет);0;28;3
31188434;Центр поддержки волонтерского движения МГИМО;f;40;236;40;МГИМО МИД России;0;59;5
42869722;Студенту РТУ МИРЭА;f;27;1187585;27;РТУ МИРЭА;0;89;15
58636773;Подслушано в РУДН;f;72;338;72;РУДН;0;132;12
76974318;"СОСЛ МЭИ ""Алушта""";f;39;304;39;НИУ МЭИ;0;156;10
49266632;Комедии;f;39;-1;39;Не связана;0;102;16
76256400;Бесплатная Москва;f;36;-1;36;Не связана;0;155;16
2237;МАИ;f;77;219;77;МАИ;0;13;4
26151903;Волонтерский центр Сеченовского университета;f;51;215;51;Первый МГМУ им. И. М. Сеченова (Сеченовский Университет);0;44;3
