VKGroup_1;VkGroup_2;Quantity
25336774;51016572;22
26555975;56106344;21
29302425;36209322;23
57846937;26858816;36
1388;20225241;22
91050183;103027469;24
25117353;41525215;37
30559917;34116496;25
37119411;48210134;21
69589815;25232578;23
180554744;30022666;25
29534144;64497138;30
28950133;34384434;34
26555975;41890491;32
29302425;34483558;77
41437811;26307864;28
29302425;24565142;62
1388;36147615;25
41437811;346191;24
30022666;30559917;37
36166073;26776509;23
33769500;25346844;47
22798006;24713873;44
65960786;87389803;22
29302425;34543413;25
25557243;39500620;25
57846937;30666517;39
33621085;36507793;28
27895931;30022666;52
103027469;23213239;22
17655824;28122932;38
25421850;48210134;31
34168005;27797026;29
38683579;40567146;38
36775085;38415798;39
25346844;38834885;31
22822305;31516466;20
78019879;57846937;41
30022666;42092461;30
26555975;36507793;49
22798006;45960892;21
998490;34116496;32
40335272;56176916;20
41437811;2158488;22
40498005;32194285;26
1388;72495085;27
36164349;34215577;22
786;20845272;28
113071474;31480508;21
36164349;24098496;20
22522055;22822305;25
26127512;34274053;45
36184135;25346844;26
29302425;32509740;59
33393308;36775085;40
1388;33621085;29
24098496;25276999;51
1388;38379853;30
1388;31969346;33
29534144;30315369;41
29302425;41053835;75
24098496;11283947;34
29246653;29686754;29
30525261;52537634;22
23611958;36775085;29
25003603;26555975;55
26555975;38683579;75
107497838;30022666;25
38683579;28950133;30
28673372;34483558;26
31935454;95543604;30
28950133;34137285;32
25421850;29302425;36
19799369;34215577;25
41538339;40167434;21
26750264;33393308;43
12648877;40167434;37
29534144;27797026;41
40427933;25205856;256
38683579;29246653;22
29534144;41041067;29
23213239;34298047;20
33393308;40167434;29
180554744;29559271;22
63731512;75219675;22
27895931;31976785;27
32194285;40020627;35
24098496;24199209;20
57846937;460389;52
25679656;38233726;20
25189523;26858816;21
43215063;48940689;26
32041317;33621085;26
24098496;1388;23
29302425;31636785;34
17655824;23626127;47
29559271;39281167;30
29246653;103027469;20
23213239;48210134;22
1388;38834885;34
30022666;34116496;78
17655824;20845272;30
37119411;45770903;30
25336774;36507793;46
32194285;15755094;31
32509740;37119411;75
50409684;33769500;26
40886007;68171501;20
23213239;29690457;25
65960786;38379853;23
27895931;28477986;25
31480508;36184135;39
30022666;38818986;31
29690457;35349905;29
932;12742657;20
22741084;24098496;35
1177;30022666;86
17655824;40167434;28
17655824;30315369;20
57846937;29246653;41
25153764;29559271;35
57846937;11982368;27
73476;30315369;21
25153764;29348258;22
36166073;40167434;40
36166073;40020627;20
29302425;52537634;51
1711;1177;95
1388;29534144;39
25117353;36959676;27
1177;36959676;29
26750264;34598021;22
12648877;36047336;20
29246653;36959676;32
22741084;30022666;26
29559271;28122932;23
28950133;36047336;25
31969346;32041317;23
33769500;34199707;37
24098496;34274053;169
125004421;36507793;27
460389;65960786;30
30022666;33769500;54
29302425;51696572;20
11982368;26555975;53
28950133;32509740;39
113071474;34274053;22
38683579;68171501;20
43879004;48946342;25
34274053;36775085;53
26858816;90730773;23
30022666;40335272;35
41437811;41807730;21
460389;36941068;28
29246653;45613675;24
43215063;29559271;33
78019879;26858816;22
22798006;25346844;69
932;30666517;76
36164349;32194285;20
1388;33393308;30
26750264;36775085;34
20629724;23553134;66
48319873;34215577;28
35486195;46117626;28
17655824;23482909;29
24098496;45613675;47
41053835;45770903;28
29573241;30022666;50
41538339;44759043;28
69589815;30315369;23
39009769;29559271;21
24713873;26307864;21
37119411;84793390;24
460389;24713873;27
460389;27797026;33
31976785;36941068;26
